ID,sentiment,content
10962,anger,Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad 
10963,anger,I watch Amyah throw temper tantrums when she gets mad at something and I'm just like damnit that is me and I can't do nothing but laugh ðŸ˜…
10964,anger,@crystaldiamondo impossible to say. We can only hope that I donâ€™t unwittingly trigger her ferocious side again. Hell hath no fury..
10965,anger,@SportingTommo @ASFCofficial no doubt we are going to struggle this year. But moments like that from Payet take the sting out of it.
10966,anger,Autocorrect changes ''em' to 'me' which I resent greatly
10967,anger,Candice on great british bake off with that pout does my head in ðŸ‘ŠðŸ»ðŸ™„
10968,anger,Point scorning and fury at Labor does nothing to address long term detention and the need to resettle #asylumseekers from #manus and #Nauru
10969,anger,HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry #bitter #bbmichelle
10970,anger,HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry  #bbmichelle
10971,anger,Fast and furious 6 this Monday 10 pm on mbc 2 ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜
10972,anger,"Not sorry for that burst of anti #Allo spam, fuck any messaging app launching in 2016, without encryption on by default."
10973,anger,So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed #bitter
10974,anger,So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed 
10975,anger,At work yesterday some old cunt couple told me their coffees were cold and wanted a refund so i put my finger in it front of them angrily
10976,anger,When you want to say something so bad but can't ! #furious ðŸ˜¤
10977,anger,â€œCompetition is suppose to motivate you to do better everytime not to be bitter all the timeâ€ -De philosopher DJ Kyos \n#quote #success #CSGO
10978,anger,@TheRevAl please tell us why 'protesting' injustice requires #burning #beating and #looting terrible optics #toussaintromain is true leader!
10979,anger,@XboxMAD @RobotBrush Ballmer will be furious. Another delivery lost...
10980,anger,Stop tracking back you fucking potato faced cunt errrr infuriating ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜  #angry #Rooney #mufc
10981,anger,Stop tracking back you fucking potato faced cunt errrr infuriating ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜   #Rooney #mufc
10982,anger,@TheBarmyArmy looking forward to div 2 next year @AndyBarmyArmy? #revenge #leictershireaway #therey
10983,anger,@TheBarmyArmy looking forward to div 2 next year @AndyBarmyArmy?  #leictershireaway #therey
10984,anger,@aGirlHasNo_Name @MdlMurray shot by black police woman Typical looney toon thinking.#Hillary #divide #anger #chaos
10985,anger,Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! 
10986,anger,Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! #raging
10987,anger,Yal aggravate tf outta me acting lying yal can't tell the difference between a dyke and a man. RARELY is it that hard to tell the difference
10988,anger,If i could just get my line to block!  #germantownbroncos #lilleague #popwarner #Broncos #usafootball #offense #lineman
10989,anger,Star trek online has a update to download oh fuming yay
10990,anger,@NewAgeInsiders @ChaoticWrestlin @davienne_long make sure you tell them how scared you are #revenge ðŸ™ŒðŸ¼ðŸ™ŒðŸ¼
10991,anger,"@SpookyHelder ...specifically are the cause of it all, and they resent being considered the enemy."
10992,anger,The war is right outside your door #rage #USAToday
10993,anger,The war is right outside your door  #USAToday
10994,anger,"A guy was raging so hard during a rocket league game, when i beat him he started crying and i was laughing so hard lol"
10995,anger,@donlemon listening to these politicians is making me so #angry I'm so fucking tired of political speak by career politicians @PatMcCroryNC
10996,anger,Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat #snap #country #countrygirl
10997,anger,Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat  #country #countrygirl
10998,anger,"@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? #boiling"
10999,anger,"@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? "
11000,anger,@louiseannexx u fucked my house up I'll always hold a grudge
11001,anger,@josefcd904 @Reddou_Kun @deven_luca @supersoniclemon He also likes incurring Lily's wrath.
11002,anger,@ReadingFC @EFLCup - remind them 'Twenty's Plenty' #revenge!
11003,anger,@ReadingFC @EFLCup - remind them 'Twenty's Plenty' !
11004,anger,@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite #inflame
11005,anger,@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite 
11006,anger,"@FakingALeto Gerard finally made it up the stairs with a little huff, his face a little more red than it was before. Having little legs --"
11007,anger,After what just happened. In need to smoke. #burning
11008,anger,After what just happened. In need to smoke. 
11009,anger,I really wish my road rage wasn't so damn bad lmaooooo
11010,anger,"@__lucymellor No idea, just exhausted and I was tidying my room and just burst out crying ... fs"
11011,anger,"@NahteWilly @AFP that was neither intelligent, definitive or useful shall I name call or would you like to expand on how I have offend you ?"
11012,anger,when you think you've got it together for a day then you randomly burst out crying
11013,anger,"You offend me, @Tansorma"
11014,anger,@jamielamieee @gerbicapiral_ @Dory then I look at you and we burst out laughing
11015,anger,"@WellerMonica Hi Monica, I write regularly for @ctysmallholding  - but not on bees - never dared try them #buzz #sting #HONEY"
11016,anger,"@WellerMonica Hi Monica, I write regularly for @ctysmallholding  - but not on bees - never dared try them #buzz  #HONEY"
11017,anger,@smendler (2)  Watch out for ppl who have been filled w/ impotent rage over time - they can be led to do just about anything
11018,anger,I just killed a spider so big it sprayed spider guts on me like a horror movie.\n#ugh #revenge
11019,anger,@SopanDeb @johnrobertsFox @azizansari Let's not stereotype all South Asians as relentless beat reporters.
11020,anger,@Alex_Philip2648 it's a step up from boiling broccoli tbh
11021,anger,@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus 
11022,anger,@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus #bitter
11023,anger,"@EE whats with the 50p a minute charge to 150, insult to injury"
11024,anger,"Last night, the Rev. Dr. Earl Johnson spoke to Wake Progressive #Democrats on transforming #moral #outrage into effective political #action."
11025,anger,Repeal/remove the 'Johnson Amendment'. It is a direct affront to the First Amendment of the Constitution.
11026,anger,I HATE little girls ðŸ˜¡ðŸ˜¡ got a lot off growing up to do!!! #fuming
11027,anger,I HATE little girls ðŸ˜¡ðŸ˜¡ got a lot off growing up to do!!! 
11028,anger,"-- used as a pawn in this red woman's game] For now, try not to fret and act as if nothing is amiss. This is a royal -- @TheLadyOfGlenco"
11029,anger,Police: Atlanta rapper Shawty Lo killed in fiery car crash
11030,anger,@JamieRJN She's all over the political map in her relentless pursuit of power.
11031,anger,No one's gonna chill bc fake outrage is fun or w/e but SPACE COLLEGE
11032,anger,I almost feel offended that she thinks that's a big deal. She's knows I'll literally do anything for her or Kai.
11033,anger,"And to discriminate only generates hate\nAnd when you hate then you're bound to get irate,"
11034,anger,Weak people revenge. Strong people forgive. Intelligent people ignore.
11035,anger,I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene #anger #fuck #die #hatered
11036,anger,I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene  #fuck #die #hatered
11037,anger,I wanna kill you and destroy you. I want you died and I want her back. #emo #scene  #fuck #die #hatered
11038,anger,I wanna kill you and destroy you. I want you died and I want her back. #emo #scene #anger #fuck #die #hatered
11039,anger,Using multiple combs simultaneously is what I like to call impressive work!!    ;-O  #ohsnap #daaamn
11040,anger,Using multiple combs simultaneously is what I like to call impressive work!!    ;-O #snap #ohsnap #daaamn
11041,anger,Nothing is more relentless than a dog begging for food
11042,anger,ok so i got my madden 17 refunded but now i gotta wait a few days for the money and now gotta pre-order fifa again....
11043,anger,@Deadspin @Rlblack1Rob My guess is he's just a convenient target for misplaced anger.  What they're really mad at is how they played.
11044,anger,People that smoke cigarettes irritate my soul.
11045,anger,Favourite quote of the year so far is by @ameliameech 'I swore at a parsnip' ðŸ˜‚ 
11046,anger,Favourite quote of the year so far is by @ameliameech 'I swore at a parsnip' ðŸ˜‚ #raging
11047,anger,Threat factors in respect to provocation bulb worm: BnQo
11048,anger,#Scorpio always seek revenge!
11049,anger,"â€” Self-hatred gives rise to fury, fury to the desire for self-change."
11050,anger,You sting like a bee but you're still my honey.
11051,anger,"if u have time 2 open a snap, u have time 2 respond"
11052,anger,"This may offend some, but I say u never trust a cop ðŸš“ of any color, but especially not a white 1(the evidence is clear)! The klan has awoke"
11053,anger,"@JoeShennan Meanwhile @JoshuaMurrayBM and I are getting a 7.40am train. I hope you really, really enjoy that hotel, Shennan. #fuming"
11054,anger,"@JoeShennan Meanwhile @JoshuaMurrayBM and I are getting a 7.40am train. I hope you really, really enjoy that hotel, Shennan. "
11055,anger,"#ForgivenessÂ might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and #revenge."
11056,anger,"#ForgivenessÂ might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and ."
11057,anger,@WinchesterGank If only. Lol I just wish once he understood the crazy of his rabid fans &amp; addressed it.
11058,anger,The way @AvailableCar wash their hands of their mistakes is disgraceful. Left driving round on a tyre that can burst at any moment
11059,anger,"People will talk, words will sting, but how you handle that is what differs you from them. Be like them or change the culture?#BeDifferent"
11060,anger,"Be quick to #listen, slow to #speak, and slow to #anger."
11061,anger,"Be quick to #listen, slow to #speak, and slow to ."
11062,anger,"@Yannarell @LOLGOP Despite your #outrage fatigue, don't lose your shine"
11063,anger,Police don't wanna be called pigs but they keep actin like em....honestly that's even an insult to pigs
11064,anger,troubled soul don't loose your heart 'cause joy and peace he brings and the beauty that's in store outweighs the hurt of life's sting.
11065,anger,We floated like butterflies. Now you sting like bees!'
11066,anger,"I don't like pineapple I only eat them on pizza, they lose the sting when they get cooked."
11067,anger,Ok but how are the fast &amp; furious movies NOT classified as comedy's? ðŸ¤”
11068,anger,@Shonna_Ludi @_braaaat_ ðŸ˜‚ðŸ˜‚ðŸ˜­ðŸ˜­ðŸ˜­ resentment
11069,anger,no offense but the doctor crying tears of joy after realizing he has a family for christmas is Cute
11070,anger,@JankHambrams You sound like my husband @Enistachia ... he makes hotter and hotter sauce - the fiery torment brings him mouth-joy! ðŸ”¥
11071,anger,"warning: i am a sensitive, angry, insecure baby today, but UGH why do people at large either hate or ignore me bc it is literally~the worst~"
11072,anger,Karev better not be out!!! Or I am seriously done DONE with @GreysABC  #unfair #ugh
11073,anger,A black female LEOðŸ’™ was shot 8 times and died in Philadelphia --Where's the #outrage black people? @BarackObama #Sharpton #blm #TheFive
11074,anger,@JessicaValenti @nytimes I don't know... Wasn't punk mostly about white men throwing tantrums?
11075,anger,Oh daaaaaaamn @SophiaBush! #getitgirl #girlpower #anger #rawr #ChicagoPD
11076,anger,Oh daaaaaaamn @SophiaBush! #getitgirl #girlpower  #rawr #ChicagoPD
11077,anger,I'm deleting all these social media apps off my phone. I might keep snap chat and insta but I'll never be on it.
11078,anger,Panpiper playing Big River outside The Bridges in SR1 #outrage
11079,anger,Panpiper playing Big River outside The Bridges in SR1 
11080,anger,I base when it's going to rain here off of brills snap stories.
11081,anger,@ColinOccupantz @JasnaBadzak @proremain and there was I thinking #UKIP were a party of angry old men - how wrong can you be!
11082,anger,"@mattstottwrites For me not so much outrage as â€˜oh, using female body to sell something, AGAINâ€™"
11083,anger,Congrats to #Nicole #bb18 ... Fix that nose now ðŸ˜’ðŸ’ðŸ» #bitter #petty
11084,anger,Congrats to #Nicole #bb18 ... Fix that nose now ðŸ˜’ðŸ’ðŸ»  #petty
11085,anger,"I had Golden Ocean the other day it was lush, then I gagged and was sick... What a waste of Â£20 - I was fuming @EmmaGould_ I miss you"
11086,anger,@PearseDoherty @harrymcgee @IrishTimes That might sting for a bit lads but you'll get over it.     #betterwithsinnfein
11087,anger,No offense but to the ppl out there using creams to build your glutes...COME ON. Go squat and what not.
11088,anger,This is a joke @SomersetCCC #fuming
11089,anger,This is a joke @SomersetCCC 
11090,anger,"@UMA1R_ @bilalmahmooduk @Muslim_Scientst i do not offend your Faith unless 1 persecutes me, treat me like a dog, disrespect me and even so"
11091,anger,The patriots have the lamest color rush jerseys in the whole nfl #madden (I hope they wear them tonight)
11092,anger,no offense but could troye start dming people so i can feel like less of an idiot when i dm him thanks
11093,anger,"ForgivenessÂ might make us look weak, but the weakest person is the one who holds anger, hatred, and revenge."
11094,anger,Instagram seriously sort your sh*t out. I spent ages writing that caption for you to delete it and not post it!! #fume #instagram
11095,anger,Instagram seriously sort your sh*t out. I spent ages writing that caption for you to delete it and not post it!!  #instagram
11096,anger,Trump supports reach another level of irritation within me
11097,anger,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop
11098,anger,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism.  #stop
11099,anger,RE: #politicallycorrect #BS   What if I am #offended by your assumption the USA should change because you are a 'visitor' &amp; don't like it?
11100,anger,@NJDDanin123 I personally liked #relentless â€¦didn't get #OurHouse #OneJersey #werealldevilsinside \nDoes nothing till a puck drops #NJDevils
11101,anger,@Who_JN I've been having a quad shot every day and can sleep right after... it's time to detox ðŸ˜… I get raging migraines without coffee :/
11102,anger,@THATSSHAWTYLO passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. That's rough stuff
11103,anger,@inthefade going back to blissful ignorance?! #fury
11104,anger,@inthefade going back to blissful ignorance?! 
11105,anger,@MarianKeyes the pout tips me over the edge. I am most definitely AGIN. Who the feic bakes with full make up and boots with heels!!!!
11106,anger,ethan was with someone in the car when he did his revenge on grayson
11107,anger,@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?
11108,anger,@zavierdaniels had to snap going crazy ðŸ˜­ðŸ˜­
11109,anger,Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. 
11110,anger,Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. #rage
11111,anger,If I do my homework now I can watch revenge and possibly go out tonight'\n*plays on phone for 2 hours to avoid doing homework
11112,anger,@MegMuphet I wasn't meaning to offend you. I was saying from personal experience. Kids got placed into these classes and they take advantage
11113,anger,@SINice Damn..  Lol..  Maybe it is for the best though..  Her brother might still be lookin for revenge ðŸ˜‚
11114,anger,@Red_Magpie @ali_faceache1 @joanna_caron @KCBFD @xMATTxLAWx he's not exactly a rabid tub thumper compared to McTernan now is he.
11115,anger,Dear hipster behind me at the game I am finding it very hard to pay attention while you talk about the politics of grapes of wrath. SHUT UP!
11116,anger,JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics 
11117,anger,JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics #relentless
11118,anger,White people irritate me.
11119,anger,"Y'all bitches be so angry and bitter, that must truly suck lol"
11120,anger,@daynutrition @sliqnicq @nytimes I don't listen to White Trash talk about blacks. It's insult. Talk about your race living in trailers
11121,anger,We're going to get City in the next round for a revenge.
11122,anger,Me: *sees incense burner* is this for drugs?
11123,anger,"@daemondave @paulkrugman Hey stupid, that was bad intel to take Bin Laden out. Try again with your faux outrage. I bet u admire Putin right?"
11124,anger,@RobertB_Rice Awesome. Another non-native being offended on my behalf. We need more of you in the world. #SaidNoNDNEver. #Paternalism
11125,anger,@JohnJHarwood @GWGMJ30 It's no secret: personal dislike of Trump &amp; animosity has always been present..now magnified with bigotry/racism etc.
11126,anger,So then it's my turn. Soon as he says hi I just burst into tears lmaoo I was so overwhelmed.
11127,anger,@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees
11128,anger,"And getting offended or furious that a writers style isn;t to your taste is ultimately daft, I suppose."
11129,anger,When u are strong u offend the weak &amp; insecure. STAY STRONG. Joshua 1:6-9 #god #internationaldayofpeace #actorslife
11130,anger,@o2academybham since when the fuck can you not stand at a concert? #raging
11131,anger,@o2academybham since when the fuck can you not stand at a concert? 
11132,anger,My irritation level is at an all time high today ðŸ™ƒ
11133,anger,@jagtron1 blacks are good at provoke them selfs blaming on white when black cops shooting blacks
11134,anger,@Piggiewhopays lmao! I can only imagine the frown across that face of yours. #Hilarity
11135,anger,#ADP's #ezlabor web portal has to be THE SLOWEST web app I have ever had the displeasure of using!!
11136,anger,We are raging angry.=1/2 bil $ for 2 pro Liars.(Actors) the most useless people in america Where is ours for working 100 X harder? @FoxNews
11137,anger,@DatGuydARK I wouldn't fret. There's too many opportunities in life to worry about one not working out.
11138,anger,@alour @jkramon1313 you should force your neighbours to pay that!  Those people have some nerve!!!  #outrage #Victim
11139,anger,@clppng #offended the tonys have found a way to leave me out and now y'all have too
11140,anger,Here's a tip for everyone: Stop being offended. End.  #quit #youredumb #liveyourownlife
11141,anger,Here's a tip for everyone: Stop being offended. End. #offended #quit #youredumb #liveyourownlife
11142,anger,These NA kids are relentless
11143,anger,Finally uploaded the file I needed to the university server's drop box. It took like half an hour and a lot of cursing and anger on my part
11144,anger,"@MagicAndFangs 'Just by getting lost! I don't want to see you in my eyes!' Hungary huffed and crossed her arms, looking away angrily."
11145,anger,"Pro Tip: Go back to work when your kid reaches 20 mos old.  Stay home any longer, and you'll be absolutely miserable with the #tantrums."
11146,anger,"Pro Tip: Go back to work when your kid reaches 20 mos old.  Stay home any longer, and you'll be absolutely miserable with the ."
11147,anger,Me and these burns that I pick up off the pitches don't get on at all like ðŸ˜¢ðŸ˜¢ #sting
11148,anger,Me and these burns that I pick up off the pitches don't get on at all like ðŸ˜¢ðŸ˜¢ 
11149,anger,Imagine being bitter when your bias is dating &amp; sending threats to their partner. Like why? That's nasty. And they don't even know you exist
11150,anger,Every dancers dream song #snap #worldpower
11151,anger,Every dancers dream song  #worldpower
11152,anger,@kjwinston11 2.  the N-word. But I think all Afr-Am are entitled to it: we shouldn't take away from them the insult they have claimed back.
11153,anger,Having one of those #angry days. I will have to stop watching #news.
11154,anger,@laureeenwillam can't cope wi her sour face and tiny pout ðŸ˜¡ðŸ˜¡
11155,anger,Karev better not be out!!! Or I am seriously done DONE with @GreysABC  #angry #unfair #ugh
11156,anger,"@FoxNews #Poor = #angry and justly so. Offer people some hope! My god, does anyone see this?! #Education should not be for the #elite"
11157,anger,Howard Webb always held up as knowing the answers. No red. Sutton and Craigan raging! Hahaha
11158,anger,ICQ is just making me mad!!!ðŸ˜¤ #icq #angry
11159,anger,ICQ is just making me mad!!!ðŸ˜¤ #icq 
11160,anger,Ppl like that irritate my soul
11161,anger,Why is it always me picking up the pieces :/ #angry
11162,anger,Why is it always me picking up the pieces :/ 
11163,anger,"I've learned to let go of resentment for people who have hurt me, because keeping it is like swallowing poison and expecting them to die."
11164,anger,Pride and Prejudice is a modern day Keeping up with the Kardashians' - @howsyourdaybin .............I've never been so offended in my life
11165,anger,The outrage over Kessel's tweet by butthurt USA players is hilarious.
11166,anger,@CallumPinner you came in at silly o'clock and woke me up that's what happened #wasted #fuming
11167,anger,@CallumPinner you came in at silly o'clock and woke me up that's what happened #wasted 
11168,anger,@missblair140 AWH tiff you're such a great friend I love you :(( thank you
11169,anger,Oh man it's been so long since I've played #madden I am trash anymore.
11170,anger,I only have to wave a fiery cross and we will f**kin' do this!
11171,anger,"Thou wilt be as valiant as the wrathful dove, or most magnanimous mouse. William Shakesphere"
11172,anger,"@SwiftShimada SPARKLES, proud little huff. Still posing mind you."
11173,anger,"No, nipples don't offend me lol. But it's sad to me to see women purposely flaunting/sexualizing their own bodies in a very immodest way."
11174,anger,@thehill no wonder USA is going to shit with such outrage over a simple analogy.
11175,anger,@fixindk @RevoltRazor @dragons1015 Guys don't use that type of language. Save it for raging...
11176,anger,@Remedy0_ switch host no bullet rage.
11177,anger,Thurston offers Gallen a â€˜peaceâ€™ of his mind: NORTH Queensland playmaker Johnathon Thurston insists he holds no grudge against Paul G...
11178,anger,My back is starting to irritate me and it's barely 2:19 ðŸ˜“
11179,anger,Manchester derby at home #revenge
11180,anger,Manchester derby at home 
11181,anger,Defination of a best friends..!!! \n\na person who opens his mouth just to #insult yu..!! :D :D :D
11182,anger,Nothing more entertaining and frightening than a #bitter #alcoholic trying desperately to get your attention.....
11183,anger,What a fucking muppet.  @jRwild1 #fuming #stalker.
11184,anger,What a fucking muppet.  @jRwild1  #stalker.
11185,anger,@TedLeitner @jesseagler You two are TEN TIMES more interesting than those particular afternoon goofballs (I could say worse). #umbrage
11186,anger,@TedLeitner @jesseagler You two are TEN TIMES more interesting than those particular afternoon goofballs (I could say worse). 
11187,anger,some of the casuals tweets that Vic has faved are making me gag #bitter
11188,anger,some of the casuals tweets that Vic has faved are making me gag 
11189,anger,@loueezecee I don't know how much more of that bloody pout I can take!!
11190,anger,"Note to self ~ Stop laughing at things that offend you, it's ok to get mad at people \n #NoteToSelf  #mad #upset"
11191,anger,"@KatherineArabis Itâ€™s taken for granted, while the misogyny in the air is treated as normal â€” and any angry response to it as pathological."
11192,anger,"@smendler (1) Watch out for memes &amp; statements designed to make you feel outrage, but that don't give you anything to *do* about situation"
11193,anger,"Do not be angry with God because you do not get what you want, for God gives most when you expect least."
11194,anger,@downeysduckling nick fury
11195,anger,@Susan_Wilde @oohincensed @TheCanarySays no! Kinda offended that you had to ask
11196,anger,"Yeah I'm hot nigga, they say im burning uhhhhh"
11197,anger,@Jacqueline_69 haha! She did well today. I can't get beyond her pout annoying me I'm afraid.
11198,anger,Yo gurls Dm for a tribute ðŸ˜œðŸ’¦ #snapme #dm #nudes #tribute #cumtribute #cock  #cum #swallow
11199,anger,Yo gurls Dm for a tribute ðŸ˜œðŸ’¦ #snapme #dm #nudes #tribute #cumtribute #cock #snap #cum #swallow
11200,anger,@noris_prosk8r2 (Maybe don't provoke him in the future if you do not want to run the risk of him punching your board.)
11201,anger,"@Digger_forum he's also mostly (except for the synthetic testosterone bits) male, you raging sexist!"
11202,anger,@UlsterWillFight @VanguardBears Looks like a rabid pack of inbreds.
11203,anger,@douglas_nat @one11north I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old! #rage
11204,anger,@douglas_nat @one11north I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old! 
11205,anger,"2 biggest fears: incurable STD's and pregnancy...I mean, they're basically the same thing anyway #forlife #annoying #irritation #weirdsmells"
11206,anger,"2 biggest fears: incurable STD's and pregnancy...I mean, they're basically the same thing anyway #forlife #annoying  #weirdsmells"
11207,anger,"#CharlotteRiots #passion? or #anger act of violence.\nIf mourning for those who have past away, #stayhome  #whyout"
11208,anger,resentment is rlly my shit.
11209,anger,i resent being tired and annoyed that the word Wiener is splashed across the news. this should be a slam-dunk for me
11210,anger,@paulsherard @margarethaynie wow I just realized how much of a sexist pig I am! I am truly sorry to anyone I offended
11211,anger,@tony_tr3 I'd say your outrage is the really FAUX outrage.
11212,anger,I can already tell this programme is going to infuriate me #ExtremeWorld
11213,anger,Height of irritation when a person makes a hilarious chusssss.... Plz die....ðŸ˜¬ðŸ˜¬
11214,anger,13 hour @bus rides make me #angry #sorry
11215,anger,13 hour @bus rides make me  #sorry
11216,anger,jelly baby is my favourite insult
11217,anger,"She began to squirm beneath @hcllbent, struggling to get out of his relentless grasp. When she realized that the attempt was useless,++"
11218,anger,@LoyalLadyMalfoy &lt;â€¢ change them himself. He follows behind with a scowl pinching his lips and takes the sheets to his room. 'So who is â€¢&gt;
11219,anger,Forever raging ðŸ˜ðŸ˜‚ðŸ˜­
11220,anger,"@rawhidevelvet No offense, but isn't it a little late to be getting a radio broadcast degree? Isn't that going to be over in a decade or 2?"
11221,anger,"@LuluLemonLime83 wow , your right they do need help,so what I'm getting from the Laureliver fandom and bitter comic fandom and"
11222,anger,"@broadly you should be criminalized for posting a pic of that brown frown.... Get a pic of some jack, or cookies, or diesel, Join up @CNN_Ai"
11223,anger,"@alliex both, scrap *ll the rage instead"
11224,anger,The ppl on here defending cops as they continue to kill innocent ppl or ppl who aren't innocent but clearly cooperate irritate tf outta me
11225,anger,Living life so relentless
11226,anger,You forever straight so fix that frown u goodðŸ˜‡ @amayyaaag__
11227,anger,"smh customers getting angry at me bc i aint got no marlboro lights in the gas hut. i called them in 2 hours ago, fuck you."
11228,anger,@alexis_maxwell #bitter hahaha just kidding. its crazy tho
11229,anger,"A 28 yr old man threw a saucepan of boiling water at a garda, &amp; then hit the garda with the shaft of a brush...Letterkenny District Court."
11230,anger,Way towards be prominent if your exasperate is peaked?: TGMbNqUEe
11231,anger,"Being abroad is causing me to make spontaneous decisions and not worry about things which is good, but the type A part of me is fuming"
11232,anger,@Thatguy_dree @RecklessWonder_ neither one of y'all can see me in this madden
11233,anger,@summar_rose @turehndebushra @_taaz_mania @fxla_ summar one more insult from you and you're gone Idc if you're my dad
11234,anger,@russbully Ended up paying 75p for half a tube of smarties. Don't even get the pleasure of popping the plastic lid off either #outrage
11235,anger,@russbully Ended up paying 75p for half a tube of smarties. Don't even get the pleasure of popping the plastic lid off either 
11236,anger,"Everything I see of American police training seems calculated to trample human dignity, inflame outrage, and escalate confrontations."
11237,anger,"@strangerpeace We'll have a ceremony next time we meet. It'll involve burning something, then possibly booze and/or caffeine."
11238,anger,"#GBBO is such a homely pure piece of tv gold. Channel 4 will attempt to tart it up. Mary, Sue and Mel gone. It's over. I'm out. ðŸ‘‹ #fuming"
11239,anger,"#GBBO is such a homely pure piece of tv gold. Channel 4 will attempt to tart it up. Mary, Sue and Mel gone. It's over. I'm out. ðŸ‘‹ "
11240,anger,Constantly fucking boiling and it's not ok
